date,time,x_edge_location,sc_bytes,c_ip,cs_method,cs_Host,cs_uri_stem,sc_status,cs_Referer,cs_User_Agent,cs_uri_query,cs_Cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
2025-04-13,04:03:33,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/pages/home,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,TWoVr34QdCKwNeJakruOnuUb7jliZJ50nl638ZfXJvmQBAoHdfRofw==,archivesnationales-ht.com,https,237,0.265,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.265,Error,text/html,727,-,-
2025-04-13,04:03:33,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/cdn-cgi/trace,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,DTuVuZvld3vUtpUkjQHDOKlhuSu6K_KpxIhUbamOzunaH74hm3p8Eg==,archivesnationales-ht.com,https,240,0.297,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.297,Error,text/html,727,-,-
2025-04-13,04:03:33,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/cloudfront/signature,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,xsQ-k501AC2LZ3BLfdwvhSYzRV7QJmXi5ND7eiEWGz2rlnL0_n33eg==,archivesnationales-ht.com,https,247,0.253,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.253,Error,text/html,727,-,-
2025-04-13,04:03:34,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/envoy-admin,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,1lLR8iE-z0vHSRLueO4DKl-1Yi8ffmqzNfLv1I7C5fCDmlM6ig-AFw==,archivesnationales-ht.com,https,238,0.263,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.262,Error,text/html,727,-,-
2025-04-13,04:03:34,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/fb-pixel.js,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,TTeW_eNsYssyMgeRkYtyxdf3LpEomXDb6U-cir6uAWoIXPVDbyNcTw==,archivesnationales-ht.com,https,238,0.265,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.265,Error,text/html,727,-,-
2025-04-13,04:03:34,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/adsbygoogle.js,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,mWotHEZtbERAhmYHAyrX21ra3-1IvkRTvPC9Gt-O7tWILNPVJ7QiHQ==,archivesnationales-ht.com,https,241,0.270,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.270,Error,text/html,727,-,-
2025-04-13,04:03:35,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/analytics.js,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,WuMqteXmv91lBYbIPE9E9sYDmm3qkRiH_w7pBMosXdhgz5Hdt7Bj6A==,archivesnationales-ht.com,https,239,0.273,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.273,Error,text/html,727,-,-
2025-04-13,04:03:35,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/gtag/js,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,iKv6pHOIEraVQtZqG1sSyWod15xQCrhkntoUbW1ihXO47jfYggpBEg==,archivesnationales-ht.com,https,234,0.258,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.258,Error,text/html,727,-,-
2025-04-13,04:03:35,LHR61-P7,336,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/WEB-INF/web.xml,404,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,TgVRQIcyf54sQQZT_HtX1IclPimTmlcJ5_o2ebTTEKlMfQq3z-Z3uQ==,archivesnationales-ht.com,https,242,0.236,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.236,Error,-,-,-,-
2025-04-13,04:03:44,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/login.jsp,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,4SDZWYWEerk1onpUO62g6KYQP95D67RaPDj_u5xShe5B1Eo_iZb3PA==,archivesnationales-ht.com,https,236,0.261,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.261,Error,text/html,727,-,-
